emp_no,from_date,to_date
23391,1989-07-20,9999-01-01
23392,1994-11-05,2001-10-17
23393,1996-12-24,9999-01-01
23394,1990-02-18,9999-01-01
23395,1998-01-01,9999-01-01
23396,1986-12-15,9999-01-01
23397,1986-04-20,9999-01-01
23398,1991-11-13,9999-01-01
23399,1988-02-07,9999-01-01
23400,1995-01-10,9999-01-01
23401,1995-03-05,1996-10-28
23402,1991-01-08,9999-01-01
23403,1997-09-16,9999-01-01
23404,1988-04-27,9999-01-01
23405,1995-11-26,9999-01-01
23406,1985-02-12,9999-01-01
23407,1990-07-30,9999-01-01
23408,1985-12-28,9999-01-01
23409,1985-04-19,2001-08-05
23410,1999-11-27,9999-01-01
23411,1993-10-02,1996-11-29
23412,1993-07-31,9999-01-01
23413,1991-07-25,9999-01-01
23414,1993-01-27,9999-01-01
23415,1985-11-24,1991-10-26
23416,1999-01-28,9999-01-01
23417,1988-05-12,9999-01-01
23418,1985-10-01,9999-01-01
23419,1992-08-22,9999-01-01
23420,1989-06-20,9999-01-01
23421,1996-04-05,9999-01-01
23422,1995-12-26,9999-01-01
23423,1988-02-02,1993-07-29
23424,1995-03-13,9999-01-01
23425,1986-07-27,9999-01-01
23426,1988-10-14,1989-04-11
23427,1992-04-23,9999-01-01
23428,1988-01-12,9999-01-01
23429,1997-11-07,9999-01-01
23430,1992-04-19,9999-01-01
23431,2000-01-16,9999-01-01
23432,1987-12-30,1989-01-27
23433,1995-08-19,9999-01-01
23434,1989-12-15,9999-01-01
23435,1995-08-06,9999-01-01
23436,1992-05-29,9999-01-01
23437,1991-03-04,1996-08-01
23438,1997-08-23,9999-01-01
23439,1994-01-02,1997-01-18
23440,2000-06-09,9999-01-01
23441,1990-12-23,9999-01-01
23442,1987-12-31,9999-01-01
23443,1997-04-04,9999-01-01
23444,1990-09-10,9999-01-01
23445,1999-04-06,9999-01-01
23446,1997-03-09,1998-01-15
23447,1998-11-14,9999-01-01
23448,1988-01-19,9999-01-01
23449,1991-09-02,9999-01-01
23450,1996-06-27,9999-01-01
23451,1994-05-27,1996-07-06
23452,1998-01-06,9999-01-01
23453,1989-06-18,9999-01-01
23454,1986-12-20,9999-01-01
23455,1990-11-10,9999-01-01
23456,1999-02-26,9999-01-01
23457,1994-10-21,9999-01-01
23458,1995-06-13,9999-01-01
23459,1998-11-23,9999-01-01
23460,1991-10-31,1995-09-18
23461,1993-12-08,9999-01-01
23462,1988-08-17,2001-11-17
23463,1998-04-02,9999-01-01
23464,1998-03-16,9999-01-01
23465,1996-10-04,9999-01-01
23466,1994-12-28,9999-01-01
23467,1989-02-27,9999-01-01
23468,1998-06-01,9999-01-01
23469,1997-12-08,1999-05-15
23470,1985-09-05,9999-01-01
23471,1987-04-16,9999-01-01
23472,1985-07-13,9999-01-01
23473,1996-06-25,9999-01-01
23474,1985-12-08,9999-01-01
23475,1997-06-10,9999-01-01
23476,1997-05-09,1997-07-11
23477,1987-11-12,9999-01-01
23478,1988-03-19,9999-01-01
23479,1996-04-15,9999-01-01
23480,1997-10-28,9999-01-01
23481,1999-10-01,9999-01-01
23482,1996-04-01,9999-01-01
23483,1992-06-15,1995-01-19
23484,1990-11-09,9999-01-01
23485,2001-01-21,9999-01-01
23486,1986-09-03,9999-01-01
23487,1997-09-05,9999-01-01
23488,1998-09-26,9999-01-01
23489,1987-01-27,9999-01-01
23490,1985-10-07,1996-02-16
23491,1985-12-15,9999-01-01
23492,1999-03-09,9999-01-01
23493,1998-09-29,9999-01-01
23494,2001-12-13,9999-01-01
23495,1993-06-25,9999-01-01
23496,1985-04-09,9999-01-01
23497,1991-09-02,9999-01-01
23498,1995-06-25,2001-12-27
23499,1985-08-22,9999-01-01
23500,1988-03-11,9999-01-01
23501,1989-12-04,9999-01-01
23502,1989-12-12,1994-10-31
23503,1998-06-04,9999-01-01
23504,1997-10-02,9999-01-01
23505,1987-09-06,1994-10-19
23506,1986-06-18,9999-01-01
23507,1990-07-09,9999-01-01
23508,1999-07-13,9999-01-01
23509,1992-05-25,9999-01-01
23510,1987-07-29,1997-11-09
23511,1988-09-25,9999-01-01
23512,1985-02-27,9999-01-01
23513,1997-07-24,9999-01-01
23514,1997-02-01,9999-01-01
23515,1994-04-20,9999-01-01
23516,1988-04-20,9999-01-01
23517,1997-08-05,1998-09-22
23518,1985-08-19,9999-01-01
23519,1988-04-20,9999-01-01
23520,1995-07-27,9999-01-01
23521,1991-04-26,9999-01-01
23522,1991-03-16,1995-08-05
23523,1995-03-02,9999-01-01
23524,1990-06-22,9999-01-01
23525,2001-06-23,9999-01-01
23526,1988-03-15,9999-01-01
23527,1987-09-22,9999-01-01
23528,1986-10-05,1996-12-25
23529,1993-12-30,9999-01-01
23530,1988-05-25,9999-01-01
23531,1995-03-16,2000-10-07
23532,1987-09-30,9999-01-01
23533,1987-05-05,9999-01-01
23534,1996-07-26,9999-01-01
23535,1996-01-25,1996-08-02
23536,1991-05-04,9999-01-01
23537,1996-09-02,9999-01-01
23538,1991-06-20,9999-01-01
23539,1999-01-16,2002-03-19
23540,1998-04-25,9999-01-01
23541,1998-04-30,9999-01-01
23542,1999-07-15,9999-01-01
23543,1999-02-24,9999-01-01
23544,1997-11-02,9999-01-01
23545,1989-09-28,9999-01-01
23546,1994-10-29,9999-01-01
23547,1993-02-18,1995-12-18
23548,1995-09-14,9999-01-01
23549,1987-03-30,9999-01-01
23550,1993-01-13,9999-01-01
23551,1993-08-09,9999-01-01
23552,1992-12-18,9999-01-01
23553,1991-05-04,9999-01-01
23554,1987-04-20,9999-01-01
23555,1988-05-04,9999-01-01
23556,1996-08-31,1997-01-23
23557,1996-06-04,9999-01-01
23558,1988-05-03,9999-01-01
23559,1996-05-10,9999-01-01
23560,1988-12-19,9999-01-01
23561,1992-02-25,9999-01-01
23562,1994-01-23,9999-01-01
23563,1999-09-13,9999-01-01
23564,1987-11-10,1997-01-02
23565,1989-01-27,9999-01-01
23566,1987-01-07,9999-01-01
23567,1989-08-13,9999-01-01
23568,1985-06-10,9999-01-01
23569,1996-12-16,9999-01-01
23570,1992-04-11,9999-01-01
23571,1995-06-07,1999-08-18
23572,1995-02-25,1995-05-07
23573,1994-09-06,9999-01-01
23574,1994-08-11,9999-01-01
23575,1986-10-28,9999-01-01
23576,1998-03-05,2000-04-03
23577,1986-09-16,9999-01-01
23578,1996-08-31,9999-01-01
23579,1994-12-02,1996-02-03
23580,1999-07-31,2000-09-20
23581,1995-07-16,9999-01-01
23582,1998-07-29,1998-08-19
23583,1990-07-12,9999-01-01
23584,1991-10-01,9999-01-01
23585,1988-10-29,9999-01-01
23586,1990-01-22,1994-11-18
23587,1997-10-22,9999-01-01
23588,1990-10-03,9999-01-01
23589,1985-04-28,9999-01-01
23590,1989-12-11,9999-01-01
23591,1987-01-05,9999-01-01
23592,2000-08-08,9999-01-01
23593,1997-04-08,1997-09-21
23594,1985-08-30,9999-01-01
23595,1993-01-23,9999-01-01
23596,1990-11-10,9999-01-01
23597,1998-08-20,9999-01-01
23598,1991-11-01,9999-01-01
23599,1991-12-16,9999-01-01
23600,1987-05-26,1992-09-16
23601,1997-05-16,1998-12-13
23602,1998-01-16,9999-01-01
23603,1994-03-22,9999-01-01
23604,1994-05-08,9999-01-01
23605,1985-12-05,9999-01-01
23606,1986-09-17,9999-01-01
23607,1985-02-12,9999-01-01
23608,1986-12-08,9999-01-01
23609,1994-07-01,2000-06-25
23610,1992-07-30,9999-01-01
23611,1995-01-27,9999-01-01
23612,1985-07-08,9999-01-01
23613,1997-04-01,9999-01-01
23614,1998-01-07,9999-01-01
23615,1995-09-23,9999-01-01
23616,1989-11-02,2001-08-20
23617,1994-02-24,9999-01-01
23618,1990-01-22,9999-01-01
23619,1995-08-01,9999-01-01
23620,1993-07-13,9999-01-01
23621,1998-10-02,9999-01-01
23622,1985-08-12,9999-01-01
23623,1989-03-02,1998-07-21
23624,1998-09-08,9999-01-01
23625,1989-12-15,9999-01-01
23626,1987-06-23,9999-01-01
23627,1998-04-11,9999-01-01
23628,1997-03-19,9999-01-01
23629,1993-11-04,9999-01-01
23630,1998-02-08,9999-01-01
23631,1995-07-15,9999-01-01
23632,1985-04-21,1989-08-30
23633,1989-09-15,9999-01-01
23634,1990-03-24,9999-01-01
23635,1998-02-09,9999-01-01
23636,1988-11-23,1997-05-09
23637,1992-08-11,9999-01-01
23638,1994-01-18,9999-01-01
23639,1992-02-21,9999-01-01
23640,1985-06-08,9999-01-01
23641,1993-05-24,9999-01-01
23642,1995-05-30,9999-01-01
23643,1993-10-13,9999-01-01
23644,1989-09-23,9999-01-01
23645,1985-05-13,1992-11-18
23646,1992-07-24,2000-07-03
23647,2000-08-18,9999-01-01
23648,1985-07-20,9999-01-01
23649,1990-11-23,9999-01-01
23650,1991-09-26,1995-10-09
23651,1991-03-26,9999-01-01
23652,1987-04-01,9999-01-01
23653,1989-10-29,9999-01-01
23654,1987-11-04,9999-01-01
23655,1997-07-12,2002-02-07
23656,1989-07-21,9999-01-01
23657,1992-07-08,2002-02-16
23658,1996-11-19,9999-01-01
23659,1989-04-25,9999-01-01
23660,1998-12-30,9999-01-01
23661,1990-04-13,9999-01-01
23662,1995-08-31,2002-06-08
23663,1997-04-30,9999-01-01
23664,1996-12-24,9999-01-01
23665,1990-02-22,9999-01-01
23666,1993-07-26,9999-01-01
23667,1992-09-15,9999-01-01
23668,1987-08-22,9999-01-01
23669,1995-09-22,2000-08-25
23670,1988-10-16,9999-01-01
23671,1990-02-26,9999-01-01
23672,1988-01-27,9999-01-01
23673,1995-03-29,2002-07-11
23674,1994-10-06,9999-01-01
23675,1996-11-03,9999-01-01
23676,1989-12-17,9999-01-01
23677,1997-10-26,9999-01-01
23678,1991-12-03,9999-01-01
23679,1999-07-29,9999-01-01
23680,1999-09-13,9999-01-01
23681,1994-02-19,1999-04-06
23682,1995-04-22,9999-01-01
23683,1998-07-15,9999-01-01
23684,1991-11-30,9999-01-01
23685,1988-03-16,1991-02-27
23686,1995-07-28,9999-01-01
23687,1999-02-22,2000-09-21
23688,1990-02-09,9999-01-01
23689,1999-04-24,9999-01-01
23690,1985-02-15,9999-01-01
23691,1999-09-07,9999-01-01
23692,1999-08-08,9999-01-01
23693,1988-06-22,9999-01-01
23694,1997-01-24,1999-09-04
23695,1985-11-22,9999-01-01
23696,1988-12-09,9999-01-01
23697,1994-06-05,9999-01-01
23698,2000-01-30,9999-01-01
23699,1990-01-26,9999-01-01
23700,1993-04-27,1993-06-10
23701,1989-11-06,1996-11-04
23702,1985-06-20,9999-01-01
23703,1997-09-02,9999-01-01
23704,1997-12-10,9999-01-01
23705,1999-07-23,9999-01-01
23706,1989-08-14,9999-01-01
23707,1989-03-21,9999-01-01
23708,1992-01-13,9999-01-01
23709,1988-05-11,9999-01-01
23710,1991-03-02,1992-10-20
23711,1985-10-13,9999-01-01
23712,1998-07-03,9999-01-01
23713,1992-06-29,9999-01-01
23714,1991-12-06,9999-01-01
23715,1990-11-23,9999-01-01
23716,1996-07-07,9999-01-01
23717,1990-02-07,1999-03-12
23718,1994-06-16,9999-01-01
23719,1989-04-06,9999-01-01
23720,1989-03-29,9999-01-01
23721,1997-06-28,1999-08-05
23722,1992-04-16,9999-01-01
23723,1987-07-22,9999-01-01
23724,1992-05-02,9999-01-01
23725,1999-11-03,9999-01-01
23726,1986-04-19,1999-03-01
23727,1998-07-29,2001-03-09
23728,1994-01-23,9999-01-01
23729,1996-09-27,9999-01-01
23730,1995-10-31,9999-01-01
23731,1985-12-17,1988-08-15
23732,1996-07-09,9999-01-01
23733,1997-08-14,9999-01-01
23734,1998-02-12,9999-01-01
23735,1988-03-17,9999-01-01
23736,1987-12-18,9999-01-01
23737,1998-05-27,9999-01-01
23738,1994-09-12,9999-01-01
23739,1988-09-20,2001-07-12
23740,1992-10-13,1998-12-05
23741,1995-12-30,1999-10-07
23742,1996-04-27,9999-01-01
23743,1988-12-29,9999-01-01
23744,1987-10-04,1987-11-04
23745,1998-11-26,2002-05-20
23746,1993-07-02,9999-01-01
23747,1995-06-12,9999-01-01
23748,1998-09-30,2000-09-25
23749,1987-01-16,9999-01-01
23750,1990-11-23,9999-01-01
23751,1990-12-10,9999-01-01
23752,1991-05-19,1995-08-12
23753,1985-12-15,9999-01-01
23754,1997-12-14,9999-01-01
23755,1990-11-21,1994-06-25
23756,1994-12-03,9999-01-01
23757,1986-05-19,9999-01-01
23758,1991-04-01,9999-01-01
23759,1994-05-14,1999-02-01
23760,1993-01-25,9999-01-01
23761,1997-05-29,9999-01-01
23762,1995-07-10,9999-01-01
23763,1995-11-16,9999-01-01
23764,1988-11-03,9999-01-01
23765,1997-08-15,9999-01-01
23766,1986-03-12,1994-10-15
23767,1987-04-22,9999-01-01
23768,1985-10-10,9999-01-01
23769,1999-12-08,9999-01-01
23770,1990-08-09,9999-01-01
23771,1991-11-02,9999-01-01
23772,1996-08-06,9999-01-01
23773,1996-07-31,9999-01-01
23774,1993-09-11,2000-04-04
23775,1990-12-02,9999-01-01
23776,1994-03-23,9999-01-01
23777,1985-02-28,9999-01-01
23778,1991-03-21,9999-01-01
23779,1995-12-26,9999-01-01
23780,1997-09-28,9999-01-01
23781,1998-05-10,1998-10-28
23782,1989-10-23,9999-01-01
23783,1988-06-04,1995-08-04
23784,1998-07-19,9999-01-01
23785,1994-09-13,9999-01-01
23786,1998-06-16,9999-01-01
23787,1986-01-21,1991-08-24
23788,1998-03-20,9999-01-01
23789,1999-02-12,9999-01-01
23790,1994-12-04,9999-01-01
23791,1991-09-27,9999-01-01
23792,1994-09-15,9999-01-01
23793,1999-04-09,9999-01-01
23794,1993-09-30,1995-03-11
23795,1998-06-24,9999-01-01
23796,1994-10-19,9999-01-01
23797,1998-07-02,9999-01-01
23798,1999-03-21,9999-01-01
23799,1993-11-16,9999-01-01
23800,1997-05-14,9999-01-01
23801,1995-10-19,9999-01-01
23802,1997-09-02,9999-01-01
23803,1999-08-04,2000-11-18
23804,1998-04-19,2000-12-04
23805,1998-02-11,9999-01-01
23806,1997-12-24,9999-01-01
23807,1993-10-21,9999-01-01
23808,1995-03-07,9999-01-01
23809,1985-03-16,1994-05-06
23810,1992-11-18,9999-01-01
23811,1989-08-07,9999-01-01
23812,1991-05-20,9999-01-01
23813,1987-06-16,9999-01-01
23814,2002-06-08,9999-01-01
23815,1999-04-02,2001-12-22
23816,1994-07-08,9999-01-01
23817,1992-04-14,9999-01-01
23818,1987-05-10,9999-01-01
23819,1990-11-11,1993-03-14
23820,1985-10-23,9999-01-01
23821,1990-04-20,9999-01-01
23822,2001-12-22,9999-01-01
23823,1991-09-12,9999-01-01
23824,1999-09-16,9999-01-01
23825,1992-11-14,1995-09-16
23826,1988-01-12,9999-01-01
23827,1995-10-24,9999-01-01
23828,1987-07-12,9999-01-01
23829,1993-08-16,1993-11-06
23830,1995-03-11,9999-01-01
23831,1992-08-10,9999-01-01
23832,1994-06-27,9999-01-01
23833,1992-03-15,1995-08-28
23834,1988-08-09,1993-12-04
23835,1986-05-31,9999-01-01
23836,1996-10-01,9999-01-01
23837,1989-10-26,9999-01-01
23838,1999-02-02,9999-01-01
23839,1990-05-15,9999-01-01
23840,1996-02-01,9999-01-01
23841,1992-02-26,1997-12-01
23842,1988-12-18,9999-01-01
23843,1987-01-24,9999-01-01
23844,1994-02-17,9999-01-01
23845,1991-10-24,9999-01-01
23846,1990-04-20,1998-02-08
23847,1985-02-12,9999-01-01
23848,1996-10-10,2001-05-21
23849,1997-09-30,9999-01-01
23850,1992-07-23,9999-01-01
23851,1990-06-06,9999-01-01
23852,1987-07-22,9999-01-01
23853,1989-05-01,1994-09-08
23854,1994-08-08,9999-01-01
23855,1994-08-02,1998-03-26
23856,1998-06-27,9999-01-01
23857,1994-08-03,9999-01-01
23858,1991-10-01,9999-01-01
23859,1997-03-03,1998-07-14
23860,1988-02-27,9999-01-01
23861,1998-06-03,9999-01-01
23862,1992-09-23,9999-01-01
23863,2000-01-18,9999-01-01
23864,1995-09-28,1997-10-25
23865,1999-10-11,9999-01-01
23866,1999-11-05,9999-01-01
23867,1994-06-23,9999-01-01
23868,1998-10-17,9999-01-01
23869,1999-12-14,9999-01-01
23870,1987-10-02,9999-01-01
23871,1997-06-18,9999-01-01
23872,1991-02-03,9999-01-01
23873,1994-02-04,1996-10-21
23874,1997-05-30,9999-01-01
23875,1986-12-29,9999-01-01
23876,1988-05-08,9999-01-01
23877,1986-09-24,9999-01-01
23878,1999-03-31,9999-01-01
23879,1991-06-29,1996-12-15
23880,1986-11-01,9999-01-01
23881,1992-07-09,9999-01-01
23882,1994-01-24,9999-01-01
23883,1987-07-06,9999-01-01
23884,1994-04-08,9999-01-01
23885,1997-06-20,9999-01-01
23886,1990-08-21,1998-06-01
23887,1990-08-19,1997-04-22
23888,1988-08-31,9999-01-01
23889,1988-02-17,9999-01-01
23890,1990-10-24,9999-01-01
23891,1998-07-10,9999-01-01
23892,1989-01-08,9999-01-01
23893,1989-09-11,9999-01-01
23894,1986-12-26,9999-01-01
23895,1991-06-05,1999-11-09
23896,1994-06-18,9999-01-01
23897,1997-02-27,9999-01-01
23898,1991-09-09,9999-01-01
23899,1989-07-16,9999-01-01
23900,1990-06-16,9999-01-01
23901,1992-05-20,1995-09-14
23902,1999-11-01,9999-01-01
23903,1988-07-08,1989-02-15
23904,1995-04-29,1999-01-30
23905,1998-08-12,9999-01-01
23906,1992-03-19,9999-01-01
23907,1998-09-21,9999-01-01
23908,1999-04-27,9999-01-01
23909,1992-11-07,9999-01-01
23910,1997-08-09,9999-01-01
23911,1990-12-24,9999-01-01
23912,1998-05-05,2000-01-18
23913,1991-02-15,9999-01-01
23914,1995-12-11,9999-01-01
23915,1996-04-07,9999-01-01
23916,1996-03-30,9999-01-01
23917,1991-04-07,1991-12-19
23918,1999-02-24,9999-01-01
23919,1999-04-02,9999-01-01
23920,1989-11-24,9999-01-01
23921,1993-04-13,9999-01-01
23922,1994-02-09,9999-01-01
23923,2000-07-31,9999-01-01
23924,1985-07-22,9999-01-01
23925,1999-09-26,2000-09-11
23926,1989-04-14,9999-01-01
23927,1990-07-28,9999-01-01
23928,1992-08-14,9999-01-01
23929,1988-05-13,9999-01-01
23930,1997-02-28,9999-01-01
23931,1992-03-19,9999-01-01
23932,1988-02-02,9999-01-01
23933,1999-06-13,9999-01-01
23934,1999-06-21,1999-12-21
23935,1994-09-14,9999-01-01
23936,1993-05-27,9999-01-01
23937,1986-01-31,9999-01-01
23938,1985-09-15,9999-01-01
23939,1993-12-23,9999-01-01
23940,1994-01-15,9999-01-01
23941,1992-05-26,9999-01-01
23942,1998-01-18,9999-01-01
23943,1987-09-27,1992-07-31
23944,1997-04-29,9999-01-01
23945,1987-11-11,9999-01-01
23946,1997-02-01,9999-01-01
23947,1994-11-13,1999-01-29
23948,1995-06-19,9999-01-01
23949,1989-10-03,9999-01-01
23950,1988-03-19,9999-01-01
23951,1992-02-11,9999-01-01
23952,1988-07-26,9999-01-01
23953,1993-09-25,1996-06-04
23954,1998-12-25,9999-01-01
23955,1993-09-06,9999-01-01
23956,1996-12-17,9999-01-01
23957,1989-06-16,9999-01-01
23958,1995-07-21,2000-07-19
23959,1999-01-20,9999-01-01
23960,1992-08-13,9999-01-01
23961,1988-11-10,9999-01-01
23962,1989-08-25,9999-01-01
23963,1987-04-21,9999-01-01
23964,1999-10-14,9999-01-01
23965,1988-04-08,9999-01-01
23966,1990-11-10,1996-07-18
23967,1999-11-14,9999-01-01
23968,1993-11-18,2002-02-13
23969,1986-09-16,9999-01-01
23970,1994-08-16,9999-01-01
23971,1997-03-29,2002-07-24
23972,1993-10-11,9999-01-01
23973,1999-03-12,9999-01-01
23974,1992-08-01,9999-01-01
23975,1997-10-27,2000-12-08
23976,1991-06-20,9999-01-01
23977,1990-05-15,9999-01-01
23978,1995-09-16,9999-01-01
23979,1986-10-23,9999-01-01
23980,1991-07-31,1999-03-26
23981,1990-05-31,9999-01-01
23982,1997-01-23,9999-01-01
23983,1999-11-28,9999-01-01
23984,1999-12-20,2000-05-14
23985,1992-02-28,9999-01-01
23986,1997-09-04,9999-01-01
23987,2000-01-01,9999-01-01
23988,1985-08-24,9999-01-01
23989,1995-04-08,9999-01-01
23990,1988-06-08,9999-01-01
23991,1997-11-27,9999-01-01
23992,1999-06-19,2001-09-11
23993,1985-06-08,9999-01-01
23994,1994-04-03,9999-01-01
23995,1987-01-06,1988-11-23
23996,1988-03-15,9999-01-01
23997,1994-02-01,9999-01-01
23998,1998-11-18,2002-02-21
23999,1989-03-19,9999-01-01
24000,1995-07-04,9999-01-01
24001,1996-04-17,9999-01-01
24002,1997-05-10,9999-01-01
24003,1999-12-04,9999-01-01
24004,1995-05-13,9999-01-01
24005,1997-05-26,9999-01-01
24006,1998-08-03,2001-01-11
24007,1986-12-01,9999-01-01
24008,1993-02-02,2000-12-18
24009,1996-08-18,9999-01-01
24010,1997-08-01,9999-01-01
24011,1990-12-31,9999-01-01
24012,1998-05-13,9999-01-01
24013,1998-10-29,9999-01-01
24014,1998-07-25,9999-01-01
24015,1997-12-11,2001-09-06
24016,1998-12-31,9999-01-01
24017,1998-08-23,9999-01-01
24018,1991-12-31,9999-01-01
24019,1994-08-22,9999-01-01
24020,1990-05-14,9999-01-01
24021,1994-09-17,9999-01-01
24022,1992-08-31,9999-01-01
24023,1999-02-04,2002-07-24
24024,1993-03-14,9999-01-01
24025,1989-10-13,9999-01-01
24026,1992-12-05,1993-08-09
24027,1992-12-01,9999-01-01
24028,1996-12-04,9999-01-01
24029,1986-04-23,9999-01-01
24030,1993-06-10,9999-01-01
24031,1986-09-15,9999-01-01
24032,2001-11-04,9999-01-01
24033,1985-10-20,1992-05-01
24034,1985-05-07,9999-01-01
24035,1998-03-31,9999-01-01
24036,1986-03-23,9999-01-01
24037,1989-01-14,1991-08-31
24038,1989-03-11,9999-01-01
24039,1990-06-06,9999-01-01
24040,1986-04-19,1986-11-22
24041,1988-04-27,9999-01-01
24042,1998-01-22,9999-01-01
24043,1990-08-07,9999-01-01
24044,1993-08-20,9999-01-01
24045,1987-02-27,9999-01-01
24046,1990-06-03,1999-07-30
24047,1990-05-30,9999-01-01
24048,1988-07-02,9999-01-01
24049,1997-01-31,1997-09-09
24050,1985-10-12,9999-01-01
24051,1995-05-09,2001-07-10
24052,1993-03-05,9999-01-01
24053,1985-11-07,9999-01-01
24054,1987-07-21,9999-01-01
24055,1995-10-13,1999-03-29
24056,1998-11-29,9999-01-01
24057,2000-12-17,9999-01-01
24058,1998-05-06,9999-01-01
24059,1991-08-28,9999-01-01
24060,1994-12-29,9999-01-01
24061,1986-08-02,9999-01-01
24062,1997-07-16,2000-09-15
24063,1991-04-11,9999-01-01
24064,1997-08-11,9999-01-01
24065,1989-08-14,9999-01-01
24066,1994-09-11,9999-01-01
24067,1989-11-18,9999-01-01
24068,1995-07-30,1997-09-03
24069,1985-03-25,1987-09-24
24070,1994-10-19,9999-01-01
24071,1987-05-27,1992-10-26
24072,1985-09-21,9999-01-01
24073,1999-06-13,9999-01-01
24074,1997-10-15,1998-02-15
24075,1990-08-04,1991-06-14
24076,1988-08-04,9999-01-01
24077,1991-04-24,9999-01-01
24078,1990-02-24,1990-11-09
24079,1993-06-12,9999-01-01
24080,1996-03-11,9999-01-01
24081,1990-05-16,9999-01-01
24082,1985-07-15,9999-01-01
24083,1991-02-01,9999-01-01
24084,2000-01-22,9999-01-01
24085,1995-05-18,1998-05-31
24086,1994-08-31,9999-01-01
24087,1998-12-01,9999-01-01
24088,1994-10-23,9999-01-01
24089,1985-12-26,9999-01-01
24090,1996-07-06,9999-01-01
24091,1999-05-24,9999-01-01
24092,1996-06-01,9999-01-01
24093,1995-04-28,9999-01-01
24094,1989-02-17,2000-11-28
24095,1991-09-23,9999-01-01
24096,1998-06-14,9999-01-01
24097,1987-08-10,9999-01-01
24098,1987-12-10,9999-01-01
24099,1989-05-11,9999-01-01
24100,2000-01-09,9999-01-01
24101,1986-03-20,1987-03-28
24102,1998-05-17,9999-01-01
24103,1988-11-29,1998-06-15
24104,2001-07-16,9999-01-01
24105,1999-05-06,9999-01-01
24106,1992-03-26,9999-01-01
24107,1989-02-17,9999-01-01
24108,1986-09-10,9999-01-01
24109,1986-11-27,1987-06-30
24110,1988-10-12,9999-01-01
24111,1991-12-12,9999-01-01
24112,1987-12-31,9999-01-01
24113,1989-04-13,9999-01-01
24114,1999-10-01,9999-01-01
24115,1989-03-29,1989-10-22
24116,1990-05-23,9999-01-01
24117,1985-07-06,1988-09-12
24118,1990-09-21,9999-01-01
24119,1986-11-06,9999-01-01
24120,1995-07-04,9999-01-01
24121,1985-09-03,9999-01-01
24122,1998-02-27,9999-01-01
24123,1990-08-26,1998-12-25
24124,1999-12-14,9999-01-01
24125,1989-07-07,9999-01-01
24126,1986-09-14,9999-01-01
24127,1985-06-06,9999-01-01
24128,1993-03-03,1993-05-03
24129,1985-11-16,9999-01-01
24130,1985-12-30,9999-01-01
24131,1987-03-19,9999-01-01
24132,1988-09-24,9999-01-01
24133,1999-12-21,9999-01-01
24134,1999-06-22,9999-01-01
24135,1991-09-23,9999-01-01
24136,1987-09-24,9999-01-01
24137,1989-05-16,1992-04-30
24138,1994-11-28,9999-01-01
24139,1997-08-13,9999-01-01
24140,1986-12-07,9999-01-01
24141,1994-06-24,9999-01-01
24142,1998-05-09,9999-01-01
24143,1990-02-08,1998-04-13
24144,1999-10-11,9999-01-01
24145,1990-02-23,9999-01-01
24146,1997-06-02,9999-01-01
24147,1991-09-13,9999-01-01
24148,1990-01-24,1993-08-26
24149,1989-08-13,9999-01-01
24150,1998-01-27,9999-01-01
24151,1988-02-08,2000-01-22
24152,1986-06-30,9999-01-01
24153,1992-04-03,9999-01-01
24154,1988-11-04,9999-01-01
24155,1992-03-12,9999-01-01
24156,1995-09-17,9999-01-01
24157,1999-04-16,9999-01-01
24158,1988-08-18,9999-01-01
24159,1985-09-23,9999-01-01
24160,1987-11-21,1989-09-28
24161,1996-05-01,9999-01-01
24162,1994-04-16,9999-01-01
24163,1987-11-11,9999-01-01
24164,1999-08-05,9999-01-01
24165,1990-05-09,9999-01-01
24166,1991-12-31,9999-01-01
24167,1986-09-01,9999-01-01
24168,1998-02-05,2000-06-28
24169,2001-10-23,9999-01-01
24170,1989-05-22,9999-01-01
24171,1989-07-11,9999-01-01
24172,1995-08-20,9999-01-01
24173,1990-04-04,1994-09-29
24174,1988-02-06,9999-01-01
24175,1990-09-19,9999-01-01
24176,1987-04-13,9999-01-01
24177,1986-04-09,1990-01-29
24178,1999-09-25,9999-01-01
24179,1989-08-03,9999-01-01
24180,1998-06-25,9999-01-01
24181,1996-08-05,9999-01-01
24182,1987-09-04,9999-01-01
24183,1985-05-03,9999-01-01
24184,1997-10-06,9999-01-01
24185,1997-03-19,1999-06-29
24186,1987-10-31,1996-05-06
24187,1994-11-08,9999-01-01
24188,1995-06-26,9999-01-01
24189,1993-03-28,1997-02-23
24190,1991-04-03,9999-01-01
24191,1988-02-17,9999-01-01
24192,1985-04-09,9999-01-01
24193,1989-12-17,1995-09-22
24194,1995-01-29,9999-01-01
24195,1991-04-11,9999-01-01
24196,1999-12-20,9999-01-01
24197,1992-02-01,9999-01-01
24198,1998-06-17,9999-01-01
24199,1985-09-20,9999-01-01
24200,1998-12-06,9999-01-01
24201,1992-01-25,9999-01-01
24202,1990-01-15,1997-09-23
24203,1987-12-30,1993-12-05
24204,1993-08-24,9999-01-01
24205,1993-09-19,9999-01-01
24206,1989-06-04,9999-01-01
24207,1993-03-27,9999-01-01
24208,2000-07-12,9999-01-01
24209,1998-01-26,9999-01-01
24210,1988-01-08,9999-01-01
24211,1991-10-23,2001-01-31
24212,1994-01-07,9999-01-01
